# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -6435.29 297.286 12.6116
200 -6431.11 300.122 -86.4141
300 -6435.34 293.91 145.212
400 -6442.53 305.029 -79.5684
500 -6467.04 292.112 40.6852
600 -6453.12 293.596 -7.65701
700 -6431.51 309.919 -119.809
800 -6448.72 288.853 102.257
900 -6436.4 296.699 4.23408
1000 -6401.36 308.258 -64.4991
1100 -6450.45 300.293 92.551
1200 -6488.03 283.742 -16.984
1300 -6445.77 301.31 -40.8418
1400 -6403.58 304.579 48.4698
1500 -6436.4 297.479 43.7674
1600 -6471.54 292.596 -63.3172
1700 -6447.21 296.638 39.0031
1800 -6415.5 307.798 41.1616
1900 -6452.91 296.201 -65.4012
2000 -6464.72 284.115 80.9805
2100 -6415.46 304.912 -8.02754
2200 -6410.42 311.736 -64.3538
2300 -6457.81 282.589 93.9705
2400 -6451.85 298.766 -57.2127
2500 -6422.8 306.613 -70.5076
2600 -6455.96 292.149 94.4331
2700 -6462.91 292.539 -1.591
2800 -6423.7 306.456 -33.1803
2900 -6445.73 302.598 87.5957
3000 -6483.15 283.337 -71.7022
3100 -6460.75 304.534 90.0671
3200 -6441.42 302.859 -111.93
3300 -6468.56 292.476 54.6919
3400 -6460.28 295.977 -61.3078
3500 -6437.09 306.504 18.3096
3600 -6451.61 294.063 74.757
3700 -6453.75 291.843 27.0419
3800 -6419.86 301.679 -48.7327
3900 -6429.78 306.639 3.37977
4000 -6463.05 290.924 24.5767
4100 -6446.33 295.739 -32.4329
4200 -6434.85 305.39 27.8975
4300 -6459.68 291.192 -0.534242
4400 -6454.36 294.099 -15.0613
4500 -6439.27 308.351 -63.5689
4600 -6467.79 294.862 67.8658
4700 -6482.95 294.907 6.35676
4800 -6464.3 298.097 64.954
4900 -6458.56 300.28 -74.7654
5000 -6459.59 298.227 54.3967
