# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -6435.29 297.286 12.6116
200 -6431.11 300.122 -86.4139
300 -6435.34 293.91 145.212
400 -6442.53 305.029 -79.5771
500 -6467.06 292.122 40.7837
600 -6453.17 293.696 -5.4908
700 -6429.74 308.814 -126.922
800 -6445.99 292.389 125.782
900 -6442.19 292.015 10.0739
1000 -6417.96 311.168 -33.0192
1100 -6434.69 289.459 -6.97716
1200 -6440.76 296.364 56.7717
1300 -6437.09 312.188 -73.1959
1400 -6473.7 284.282 76.9603
1500 -6461.49 293.218 0.0509573
1600 -6418.43 313.6 -27.4443
1700 -6452.25 292.783 -10.4201
1800 -6473.21 290.685 35.8796
1900 -6446.22 303.371 27.2259
2000 -6436.9 300.856 -59.1489
2100 -6458.1 294.746 74.8094
2200 -6464.91 294.95 -2.58336
2300 -6455.27 304.732 -37.6657
2400 -6451.92 290.272 -33.0645
2500 -6446.51 303.43 72.2093
2600 -6432.13 296.668 -47.2897
2700 -6451.22 301.762 57.7056
2800 -6454.13 292.363 -92.5508
2900 -6448.97 300.399 -38.2159
3000 -6451.61 298.463 163.235
3100 -6445.97 292.376 -85.3196
3200 -6439.2 307.556 132.467
3300 -6459.38 291.532 -128.496
3400 -6459.09 295.28 66.8616
3500 -6429.93 305.786 -16.8998
3600 -6443.22 299.93 -85.528
3700 -6472.24 287.868 88.1938
3800 -6436 296.022 9.46279
3900 -6401.82 314.749 -28.1146
4000 -6458.82 292.954 47.4938
4100 -6490.3 285.347 -53.5208
4200 -6449.37 308.594 52.292
4300 -6456.59 300.625 24.2974
4400 -6489.18 287.768 -75.1991
4500 -6455.77 298.444 76.544
4600 -6429.37 305.603 -97.8369
4700 -6443.76 292.126 107.114
4800 -6431.65 296.363 -96.3627
4900 -6417.11 306.063 80.8361
5000 -6431.25 295.943 -75.7404
5100 -6442.45 291.594 47.9823
5200 -6412.99 299.879 -14.1982
5300 -6410.52 303.915 3.97642
5400 -6454.58 296.912 73.327
5500 -6471.16 289.543 -66.1631
5600 -6445.85 303.971 50.0821
5700 -6444.02 297.049 -26.7243
5800 -6455.82 298.354 -26.6046
5900 -6444.1 295.292 -7.46633
6000 -6420.61 304.097 28.092
6100 -6424.02 299.94 -33.214
6200 -6443.85 287.921 -13.3863
6300 -6426.49 305.635 45.245
6400 -6443.31 300.911 54.4693
6500 -6468.38 289.22 -95.6354
6600 -6446.84 300.24 103.403
6700 -6439.21 303.272 -108.835
6800 -6464.9 288.967 -4.66358
6900 -6436.79 301.111 82.1515
7000 -6412.78 305.652 -4.92849
7100 -6436.25 289.716 -67.631
7200 -6434.39 295.824 73.3299
7300 -6402.66 306.096 12.6234
7400 -6427.83 297.673 -10.9494
7500 -6445.66 289.387 33.7857
7600 -6422.86 307.864 -117.276
7700 -6438.96 295.388 90.4711
7800 -6455.02 295.458 -26.9509
7900 -6450.71 300.079 21.1493
8000 -6455.17 298.298 7.09569
8100 -6468.62 297.449 23.9344
8200 -6466.7 293.025 -137.974
8300 -6441.65 306.437 176.158
8400 -6455.65 298.8 -104.807
8500 -6470.94 286.105 61.211
8600 -6445.23 304.83 -43.9499
8700 -6440.9 302.81 53.2943
8800 -6460.37 287.144 -53.6108
8900 -6440.06 302.377 77.439
9000 -6417.4 302.282 -55.3455
9100 -6441.15 297.346 51.715
9200 -6461.6 291.656 11.8617
9300 -6445.62 301.105 -95.2346
9400 -6403.64 299.148 105.164
9500 -6407.72 304.092 -70.9309
9600 -6439.4 289.636 22.5178
9700 -6443.03 300.92 23.7192
9800 -6439.93 300.039 85.7447
9900 -6447.96 295.356 -90.1741
10000 -6441.56 296.778 -3.46649
10100 -6442.66 299.256 74.593
10200 -6433.67 296.342 -101.827
10300 -6434.9 303.609 49.9629
10400 -6463.11 295.445 4.63597
10500 -6454.82 291.625 -16.8656
10600 -6424.19 306.677 -26.763
10700 -6453.74 299.623 163.165
10800 -6477.56 286.523 -110.517
10900 -6451.03 305.027 60.0026
11000 -6458.36 304.693 -49.7673
11100 -6493.95 286.861 -43.4444
11200 -6472.49 297.41 53.8629
11300 -6454.92 308.876 29.6154
11400 -6500.4 291.815 -16.3087
11500 -6493.2 289.273 27.0776
11600 -6463.27 312.636 38.5247
11700 -6499.22 294.273 -106.748
11800 -6501.16 283.47 79.9248
11900 -6450.57 317.275 -11.9977
12000 -6457.95 296.439 -67.7422
12100 -6493.46 285.997 86.9016
12200 -6471.65 306.115 -96.9303
12300 -6469.85 298.412 110.458
12400 -6494.97 296.256 -57.0341
12500 -6498.96 297.597 25.7485
12600 -6505.47 297.392 -18.2833
12700 -6496.82 294.236 -46.9525
12800 -6482.36 304.382 50.4717
12900 -6482.51 293.999 39.5749
13000 -6494.3 301.573 -59.3172
13100 -6505.48 296.291 83.7248
13200 -6498.37 293.438 -88.6017
13300 -6477.93 304.937 49.0735
13400 -6474.21 295.412 -15.4683
13500 -6486.19 301.413 67.2409
13600 -6498.63 293.241 -154.79
13700 -6489.05 297.272 170.258
13800 -6478.62 303.495 -75.6539
13900 -6509.16 296.532 35.7875
14000 -6534.09 293.935 -34.1238
14100 -6510.51 298.024 14.0878
14200 -6496.62 302.372 43.3591
14300 -6510.12 296.462 -102.981
14400 -6508.91 295.422 86.5185
14500 -6499.71 298.777 -10.8082
14600 -6498.1 303.142 22.8826
14700 -6495.38 293.345 -1.29128
14800 -6498.73 299.231 42.4575
14900 -6495.85 296.724 4.5731
15000 -6497.7 298.094 -1.10295
15100 -6488.62 299.519 -25.2513
15200 -6497.81 300.845 63.5113
15300 -6511.26 289.997 -25.7192
15400 -6497.52 301.501 -5.06213
15500 -6495.6 304.47 8.18579
15600 -6514.37 285.832 -46.4057
15700 -6486.25 302.944 48.7928
15800 -6471.91 307.217 62.2744
15900 -6522.74 291.256 -46.5418
16000 -6530.62 288.574 47.3694
16100 -6496.45 309.876 -78.0624
16200 -6493.84 294.781 35.0424
16300 -6498.87 298.944 4.76231
16400 -6491.69 299.654 22.5922
16500 -6499.48 294.152 -39.1624
16600 -6508.34 296.523 -33.0159
16700 -6495.63 300.973 6.62155
16800 -6496.76 300.017 111.269
16900 -6523.08 297.158 -106.342
17000 -6521.34 291.382 103.477
17100 -6493.64 304.816 -101.439
