# Time-averaged data for fix scalarOut
# TimeStep v_Dtwopoint v_DmolTwopoint v_DxMolTwopoint v_DyMolTwopoint v_DzMolTwopoint v_Dfitslope v_DmolFitslope v_DxMolFitslope v_DyMolFitslope v_DzMolFitslope v_Dvacf v_Dxvacf v_Dyvacf v_Dzvacf
0 25715.4 3.28692e-17 0 0 9.86076e-17 8.33333e+18 8.33333e+18 2.5e+19 2.5e+19 2.5e+19 0 0 0 0
10 0.000144147 1.57596e-05 4.55892e-05 8.74684e-07 8.14785e-07 0.000201373 8.94123e-06 2.61013e-05 3.98799e-07 3.23555e-07 -4.80071e-05 -0.000140673 4.30887e-05 -4.64371e-05
20 0.000236675 3.64275e-05 0.000102773 3.91986e-06 2.58958e-06 0.000185574 2.23273e-05 6.35256e-05 1.9597e-06 1.49656e-06 2.05028e-05 6.62161e-05 -4.04264e-05 3.57186e-05
30 0.000245857 4.98783e-05 0.000143872 4.34739e-06 1.41506e-06 0.000214786 3.39529e-05 9.67763e-05 3.27524e-06 1.80713e-06 -3.32264e-05 -3.726e-06 -4.906e-05 -4.68931e-05
40 0.000274104 5.75527e-05 0.00017085 1.69182e-06 1.16325e-07 0.000234647 4.24899e-05 0.000123061 3.13651e-06 1.27187e-06 1.26143e-05 0.000219998 -5.5096e-05 -0.00012706
50 0.000273419 6.22683e-05 0.000186795 3.09164e-09 6.35379e-09 0.000244009 4.85112e-05 0.000142505 2.19855e-06 8.30584e-07 0.000114887 0.000192027 -3.42199e-06 0.000156057
60 0.000275178 6.68584e-05 0.000197584 2.97617e-06 1.55902e-08 0.000254325 5.32545e-05 0.000157292 1.88652e-06 5.85282e-07 -2.1251e-05 0.000180546 -0.000108057 -0.000136243
70 0.000254883 7.12618e-05 0.000199859 1.36851e-05 2.40861e-07 0.000255561 5.73243e-05 0.000167977 3.54052e-06 4.54915e-07 -5.25331e-05 -1.94522e-05 -4.61734e-07 -0.000137685
80 0.000271016 7.43765e-05 0.000191271 3.0054e-05 1.80505e-06 0.000258247 6.0875e-05 0.000174147 7.90582e-06 5.72441e-07 -0.000220578 -0.000312829 -0.000272515 -7.639e-05
90 0.000243989 7.69989e-05 0.000177771 4.80997e-05 5.12569e-06 0.000256614 6.38626e-05 0.000175925 1.44866e-05 1.17645e-06 -9.64507e-05 -0.000178012 -0.000232485 0.000121145
