# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -5123.96 297.649 -7.24904
200 -5125.15 301.546 54.59
300 -5125 291.975 36.3481
400 -5120.84 298.703 -55.6143
500 -5122.7 299.372 -6.75818
600 -5116.04 292.336 -9.39767
700 -5107.44 310.383 -22.517
800 -5114.87 298.147 113.459
900 -5128.05 287.176 -52.3329
1000 -5117.83 300.993 -25.7462
1100 -5107.85 302.04 33.9968
1200 -5123.5 301.458 -49.0411
1300 -5124.27 283.175 29.7084
1400 -5105.91 308.774 -49.5682
1500 -5113.4 302.673 3.63214
1600 -5128.47 287.262 30.0973
1700 -5112.58 303.022 10.1042
1800 -5114.33 303.981 -51.4224
1900 -5122.65 281.441 -3.46331
2000 -5113.23 311.732 -30.7534
2100 -5112.83 299.408 103.05
2200 -5130.89 286.947 14.1546
2300 -5119.16 301.873 -7.40582
2400 -5107.49 304.89 -53.3119
2500 -5125.19 290.191 29.5498
2600 -5117.8 296.422 90.0157
2700 -5120.83 315.418 -87.5864
2800 -5134.54 278.455 29.3286
2900 -5116.62 298.604 17.9474
3000 -5105.31 314.414 -59.368
3100 -5130.88 287.337 87.6004
3200 -5124.34 287.124 3.39349
3300 -5094.95 315.446 63.5782
3400 -5107.5 293.645 -1.69815
3500 -5124.33 291.272 33.5152
3600 -5114.09 301.518 -78.8108
3700 -5111.18 303.223 22.327
3800 -5121.78 291.982 -60.4365
3900 -5119.18 298.122 -19.7859
4000 -5117.53 307.542 42.2348
4100 -5130.04 285.355 36.0685
4200 -5123.47 300.56 23.5971
4300 -5113.18 306.736 -40.8173
4400 -5130.71 292.428 30.7681
4500 -5131.28 289.688 -61.9624
4600 -5111.95 311.059 8.47541
4700 -5116.53 301.254 -52.2081
4800 -5139.04 287.13 76.9101
4900 -5128.92 294.055 -59.9515
5000 -5108.66 308.894 -1.17532
