# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -6255.47 290.379 -5395.29
200 -6267.55 295.982 -3132.43
300 -6262.01 293.269 -2960.05
400 -6260.57 292.534 -4727.46
500 -6256.99 291.095 -4985.29
600 -6246.16 285.864 -4480.12
700 -6265.04 294.842 -4167.17
800 -6272.61 298.43 -3300.42
900 -6256.35 290.731 -4073.64
1000 -6264.07 294.393 -5400.73
1100 -6258.84 292.001 -5120.09
1200 -6264.63 294.624 -4867.27
1300 -6254.66 289.938 -4194.42
1400 -6261.69 293.144 -5739.62
1500 -6261.8 293.263 -5483.82
1600 -6256.08 290.701 -6426.26
1700 -6272.64 298.333 -5066.44
1800 -6272.33 298.29 -4043.49
1900 -6279.88 301.869 -3932.65
2000 -6274.07 299.168 -5778.89
2100 -6282.53 302.937 -6230.83
2200 -6278.51 301.109 -4815.03
2300 -6285.26 304.36 -3855.55
2400 -6291.09 307.041 -4096.84
2500 -6276.65 300.208 -3603.65
2600 -6287 305.275 -3769.68
2700 -6287.61 305.706 -2661.41
2800 -6284.86 304.441 -4716.31
2900 -6302.71 312.803 -4806.66
3000 -6303.28 312.97 -3385.7
3100 -6307.32 314.815 -2840.37
3200 -6308.79 315.502 -4040.7
3300 -6308.59 315.477 -4168.1
3400 -6328.69 324.87 -1116.84
3500 -6313.51 317.849 -1140.8
3600 -6314.97 318.555 -4032
3700 -6317.07 319.582 -3100.18
3800 -6319.5 320.679 -4243.64
3900 -6304.11 313.265 -5962.69
4000 -6314.81 318.295 -4234.31
4100 -6312.09 316.881 -1103.28
4200 -6316.07 318.731 -2891.7
4300 -6306.78 314.285 -4965.55
4400 -6312.04 316.762 -4469.49
4500 -6324.45 322.779 -2878.68
4600 -6314.13 317.787 -4492.14
4700 -6326.45 323.727 -4627.03
4800 -6319.91 320.661 -5366.01
4900 -6329.62 325.281 -5040.93
5000 -6320.25 320.883 -3329.15
