# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -6495.37 338.818 -2001.7
200 -6491.56 336.391 -4318.38
300 -6494.38 338.181 -4227.08
400 -6489.61 335.164 -4484.94
500 -6493.34 337.538 -3843.97
600 -6488.79 334.639 -3761.78
700 -6494.23 338.124 -4418.89
800 -6484.97 332.202 -3848.84
900 -6494.62 338.399 -2509.01
1000 -6487.5 333.841 -990.796
1100 -6489.38 335.026 -2982.94
1200 -6491.67 336.522 -4799.31
1300 -6497.59 340.291 -2477.08
1400 -6497.26 340.072 -2494.52
1500 -6501.15 342.553 -4351.71
1600 -6495.33 338.848 -4954.04
1700 -6487.82 334.05 -2146.34
1800 -6493.97 337.991 -4135.65
1900 -6481.02 329.667 -2565.19
2000 -6506.7 346.108 -1127.22
2100 -6496.17 339.373 -1800.09
2200 -6506.26 345.826 -4419.14
2300 -6496.18 339.382 -5500.86
2400 -6497.88 340.479 -4572.65
2500 -6493.35 337.573 -3078.68
2600 -6498.02 340.557 -2736.13
2700 -6494.65 338.397 -2553.06
2800 -6501.89 343.032 -1043.54
2900 -6506.3 345.845 -506.097
3000 -6501.65 342.84 -3044
3100 -6494.92 338.541 -5180.03
3200 -6493.31 337.521 -2555.23
3300 -6496.23 339.398 -3881.31
3400 -6499.59 341.547 -4976.88
3500 -6497.14 340.019 -2867.61
3600 -6504.26 344.555 -1594.45
3700 -6506.33 345.867 -3230.8
3800 -6501.78 342.95 -2270.17
3900 -6498.8 341.046 -1169.68
4000 -6507.69 346.742 -3228.74
4100 -6499.83 341.733 -6442.27
4200 -6498.18 340.689 -5393.98
4300 -6497.2 340.068 -4475.25
4400 -6489.7 335.268 -2818.76
4500 -6479.48 328.729 -1293.76
4600 -6487.5 333.832 -1917.03
4700 -6495.77 339.123 -2727.79
4800 -6499.44 341.47 -2699.22
4900 -6504.52 344.713 -2190.56
5000 -6496.86 339.834 -2689.68
5100 -6505.35 345.272 -2919.92
5200 -6495.55 338.981 -2473.76
5300 -6499.84 341.74 -4368.77
5400 -6481.34 329.896 -5340.86
5500 -6487.38 333.751 -4581.17
5600 -6487.41 333.736 -4968.49
5700 -6480.03 329.022 -4795.62
5800 -6490.24 335.552 -4098.79
5900 -6499.7 341.586 -3320.92
6000 -6491.8 336.547 -4871.47
6100 -6487.94 334.09 -4325.79
6200 -6484.99 332.218 -4919.72
6300 -6497.61 340.273 -6288.14
6400 -6488.84 334.682 -5903.81
6500 -6486.65 333.276 -3006.18
6600 -6503.76 344.202 -2626.31
6700 -6495.9 339.19 -3306.71
6800 -6499.98 341.804 -1976.58
6900 -6493.95 337.958 -1697.25
7000 -6498.4 340.808 -4554.78
7100 -6485.31 332.423 -2634.59
7200 -6493.7 337.8 -2120.7
7300 -6493.85 337.929 -3945.61
7400 -6492.98 337.358 -4900.49
7500 -6504.84 344.909 -5745.53
7600 -6495.13 338.682 -3331.76
7700 -6492.54 337.044 -1075.28
7800 -6484.29 331.753 -3695.15
7900 -6479.81 328.891 -5830.19
8000 -6502.28 343.29 -4371.93
8100 -6490.6 335.825 -3410.48
8200 -6497.55 340.272 -4296.86
8300 -6495.01 338.639 -5221.25
8400 -6498.67 340.977 -3393.55
8500 -6501.69 342.921 -1498.16
8600 -6491.42 336.365 -4345.09
8700 -6497.3 340.114 -3345.85
8800 -6494.5 338.322 -3728.51
8900 -6492.26 336.867 -5559.53
9000 -6490.33 335.625 -5003.86
9100 -6500.23 341.957 -1556.25
9200 -6495.76 339.089 -2551.24
9300 -6496.39 339.482 -2844.21
9400 -6488.39 334.372 -3650.53
9500 -6489.5 335.071 -2496.58
9600 -6487.09 333.58 -5513.36
9700 -6497.79 340.443 -4816.76
9800 -6499.42 341.474 -3775.18
9900 -6500.5 342.147 -4813.72
10000 -6494.78 338.486 -4936.3
