# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -6452.16 311.205 -287.646
200 -6451.33 310.674 -89.3764
300 -6449.64 309.589 -930.648
400 -6438.9 302.709 -2328.3
500 -6436.44 301.106 -2688.62
600 -6446.12 307.292 -905.93
700 -6462.02 317.455 754.995
800 -6448.05 308.549 -247.144
900 -6448.08 308.544 -1189.58
1000 -6447.93 308.478 -2170.29
1100 -6442.69 305.124 -1274.28
1200 -6459.6 315.954 1154.48
1300 -6441.65 304.485 -1160.84
1400 -6441.71 304.47 -2099.1
1500 -6452.4 311.32 -1314.23
1600 -6448.13 308.611 -2479.17
1700 -6429.61 296.752 -2184.24
1800 -6451.37 310.682 -524.95
1900 -6447.79 308.385 -290.385
2000 -6432.71 298.742 -2530.74
2100 -6432 298.289 -2760.61
2200 -6443.52 305.639 -1106.52
2300 -6456.99 314.262 -474.367
2400 -6447.1 307.933 -1108.05
2500 -6440.85 303.921 -1205.84
2600 -6452.6 311.455 -1457.79
2700 -6445.83 307.11 -1321.52
2800 -6452.1 311.129 -1356.98
2900 -6445.28 306.759 -297.207
3000 -6442.79 305.182 -388.823
3100 -6442.14 304.745 -34.446
3200 -6442.24 304.802 -3131.06
3300 -6440.64 303.8 -2339.23
3400 -6439.78 303.269 -601.676
3500 -6437.86 302.043 176.083
3600 -6454.84 312.923 -626.156
3700 -6447.55 308.235 -2130.16
3800 -6445.43 306.899 -2152.77
3900 -6442.32 304.916 -977.401
4000 -6458.03 314.966 -1000.89
4100 -6451.21 310.578 -1302.48
4200 -6454.59 312.749 455.788
4300 -6452.15 311.199 157.351
4400 -6451.89 311.025 -904.663
4500 -6442.02 304.721 -790.972
4600 -6446.14 307.349 -507.929
4700 -6448.84 309.079 -1155.36
4800 -6449.14 309.258 -587.231
4900 -6451.25 310.632 428.212
5000 -6452.67 311.546 -682.901
5100 -6437.8 302.002 -2950.61
5200 -6447.08 307.933 -2177.26
5300 -6441.57 304.415 -1139.42
5400 -6447.95 308.5 -1557.68
5500 -6452.81 311.613 -1384.26
5600 -6441.57 304.429 -1324.8
5700 -6456.84 314.208 -3348
5800 -6450.88 310.405 -3030.3
5900 -6456.63 314.053 -675.259
6000 -6462.63 317.91 -1951.06
6100 -6466.32 320.299 -1683.14
6200 -6469.95 322.645 -2071.35
6300 -6459.46 315.924 -4621.36
6400 -6465.55 319.785 -3376.03
6500 -6473.29 324.732 -722.662
6600 -6475.41 326.067 -2069.48
6700 -6474.28 325.357 -2955.8
6800 -6461.94 317.44 331.653
6900 -6463.67 318.553 -2996.09
7000 -6459.71 315.996 -5073.16
7100 -6465.64 319.809 -3049.1
7200 -6476.03 326.455 -2133.79
7300 -6473.83 325.057 -3189.2
7400 -6469.17 322.059 -3571.86
7500 -6470.83 323.143 -2639.35
7600 -6480.66 329.455 -248.208
7700 -6475.53 326.159 -1094.49
7800 -6461.7 317.298 -2973.21
7900 -6475.66 326.238 -4457.85
8000 -6474.66 325.574 -4290.87
8100 -6478.34 327.932 -2783.47
8200 -6472.08 323.938 -3074.92
8300 -6472.88 324.456 -3073.22
8400 -6478.07 327.775 -3457.06
8500 -6472.77 324.369 -3660.03
8600 -6473.52 324.841 -2956.25
8700 -6481.61 330.002 -3402.22
8800 -6480.75 329.478 -3591.75
8900 -6485.34 332.42 -2523.69
9000 -6483.83 331.445 -1514.57
9100 -6494.06 337.991 -2216.15
9200 -6483.5 331.238 -2254.81
