# Time-averaged data for fix thermoAveOut
# TimeStep c_thermo_pe c_thermo_temp c_thermo_press
100 -13197.2 304.2 -1919.11
200 -13197.8 304.44 -1520.22
300 -13194.2 303.028 -1207.98
400 -13195.5 303.567 -2282.97
500 -13195.2 303.468 -1698.02
600 -13194.9 303.31 -1318.35
700 -13195.4 303.506 -1471.22
800 -13204.9 307.21 -831.958
900 -13202.4 306.203 -91.9319
1000 -13193 302.593 -2164.99
1100 -13188 300.655 -1971.32
1200 -13190.8 301.75 -1128.08
1300 -13203.9 306.816 -1014.68
1400 -13196.4 303.9 -1566.87
1500 -13199.5 305.128 -213.767
1600 -13200.9 305.633 -1444.6
1700 -13183.1 298.747 -1706.48
1800 -13196.6 303.987 -522.425
1900 -13184.9 299.434 -2971.57
2000 -13184.5 299.295 -1362.35
2100 -13200.8 305.626 -260.266
2200 -13184.6 299.312 -2322.99
2300 -13196.8 304.057 -1544.6
2400 -13189.1 301.08 -467.109
2500 -13180.5 297.719 -2295.04
2600 -13195.7 303.662 -1809.32
2700 -13193.7 302.889 -1505.08
2800 -13184.7 299.374 -3293.17
2900 -13193.6 302.849 -1036.84
3000 -13193.9 302.943 -801.298
3100 -13185 299.474 -3050.19
3200 -13201.7 305.958 -967.84
3300 -13198.5 304.727 -1107.43
3400 -13187.6 300.491 -3244.78
3500 -13217.5 312.096 96.0821
3600 -13195.3 303.491 -171.262
3700 -13197.8 304.444 -2502.63
3800 -13192.7 302.48 -768.03
3900 -13193.2 302.68 -1104.97
4000 -13195.8 303.681 -1684.55
4100 -13205.2 307.315 -329.867
4200 -13195.4 303.496 -2907.48
4300 -13201.9 306.057 -2210.41
4400 -13199.1 304.943 -346.347
4500 -13187.1 300.286 -2103.96
4600 -13191.2 301.903 -1819.66
4700 -13191.8 302.125 -316.926
4800 -13181 297.958 -2554.94
4900 -13187.2 300.356 -1620.09
5000 -13198.6 304.75 -630.258
5100 -13192.6 302.431 -2382.14
5200 -13194 302.976 -1404.48
5300 -13208.4 308.569 -1185.29
5400 -13209.5 308.992 -1014.73
