# # 1: Bin number
# # 2: r
# # 3: g(r)
0.000000000000000000e+00 2.000000000000000096e-04 0.000000000000000000e+00
1.000000000000000000e+00 5.999999999999999474e-04 0.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000021e-03 0.000000000000000000e+00
3.000000000000000000e+00 1.399999999999999986e-03 0.000000000000000000e+00
4.000000000000000000e+00 1.799999999999999951e-03 0.000000000000000000e+00
5.000000000000000000e+00 2.200000000000000133e-03 0.000000000000000000e+00
6.000000000000000000e+00 2.599999999999999881e-03 0.000000000000000000e+00
7.000000000000000000e+00 3.000000000000000062e-03 0.000000000000000000e+00
8.000000000000000000e+00 3.399999999999999811e-03 0.000000000000000000e+00
9.000000000000000000e+00 3.799999999999999992e-03 0.000000000000000000e+00
1.000000000000000000e+01 4.199999999999999740e-03 0.000000000000000000e+00
1.100000000000000000e+01 4.599999999999999922e-03 0.000000000000000000e+00
1.200000000000000000e+01 5.000000000000000104e-03 0.000000000000000000e+00
1.300000000000000000e+01 5.400000000000000286e-03 0.000000000000000000e+00
1.400000000000000000e+01 5.799999999999999600e-03 0.000000000000000000e+00
1.500000000000000000e+01 6.199999999999999782e-03 0.000000000000000000e+00
1.600000000000000000e+01 6.599999999999999964e-03 0.000000000000000000e+00
1.700000000000000000e+01 7.000000000000000146e-03 0.000000000000000000e+00
1.800000000000000000e+01 7.400000000000000328e-03 0.000000000000000000e+00
1.900000000000000000e+01 7.799999999999999642e-03 0.000000000000000000e+00
2.000000000000000000e+01 8.200000000000000691e-03 0.000000000000000000e+00
2.100000000000000000e+01 8.600000000000000006e-03 0.000000000000000000e+00
2.200000000000000000e+01 8.999999999999999320e-03 0.000000000000000000e+00
2.300000000000000000e+01 9.400000000000000369e-03 0.000000000000000000e+00
2.400000000000000000e+01 9.799999999999999684e-03 0.000000000000000000e+00
2.500000000000000000e+01 1.020000000000000073e-02 0.000000000000000000e+00
2.600000000000000000e+01 1.060000000000000005e-02 0.000000000000000000e+00
2.700000000000000000e+01 1.099999999999999936e-02 0.000000000000000000e+00
2.800000000000000000e+01 1.140000000000000041e-02 0.000000000000000000e+00
2.900000000000000000e+01 1.179999999999999973e-02 0.000000000000000000e+00
3.000000000000000000e+01 1.220000000000000077e-02 0.000000000000000000e+00
3.100000000000000000e+01 1.260000000000000009e-02 0.000000000000000000e+00
3.200000000000000000e+01 1.299999999999999940e-02 0.000000000000000000e+00
3.300000000000000000e+01 1.340000000000000045e-02 0.000000000000000000e+00
3.400000000000000000e+01 1.379999999999999977e-02 0.000000000000000000e+00
3.500000000000000000e+01 1.420000000000000082e-02 0.000000000000000000e+00
3.600000000000000000e+01 1.460000000000000013e-02 0.000000000000000000e+00
3.700000000000000000e+01 1.499999999999999944e-02 0.000000000000000000e+00
3.800000000000000000e+01 1.540000000000000049e-02 0.000000000000000000e+00
3.900000000000000000e+01 1.580000000000000154e-02 0.000000000000000000e+00
4.000000000000000000e+01 1.619999999999999912e-02 0.000000000000000000e+00
4.100000000000000000e+01 1.660000000000000017e-02 0.000000000000000000e+00
4.200000000000000000e+01 1.700000000000000122e-02 0.000000000000000000e+00
4.300000000000000000e+01 1.739999999999999880e-02 0.000000000000000000e+00
4.400000000000000000e+01 1.779999999999999985e-02 0.000000000000000000e+00
4.500000000000000000e+01 1.820000000000000090e-02 0.000000000000000000e+00
4.600000000000000000e+01 1.859999999999999848e-02 0.000000000000000000e+00
4.700000000000000000e+01 1.899999999999999953e-02 0.000000000000000000e+00
4.800000000000000000e+01 1.940000000000000058e-02 0.000000000000000000e+00
4.900000000000000000e+01 1.980000000000000163e-02 0.000000000000000000e+00
5.000000000000000000e+01 2.019999999999999921e-02 0.000000000000000000e+00
5.100000000000000000e+01 2.060000000000000026e-02 0.000000000000000000e+00
5.200000000000000000e+01 2.100000000000000130e-02 0.000000000000000000e+00
5.300000000000000000e+01 2.139999999999999888e-02 0.000000000000000000e+00
5.400000000000000000e+01 2.179999999999999993e-02 0.000000000000000000e+00
5.500000000000000000e+01 2.220000000000000098e-02 0.000000000000000000e+00
5.600000000000000000e+01 2.259999999999999856e-02 0.000000000000000000e+00
5.700000000000000000e+01 2.299999999999999961e-02 0.000000000000000000e+00
5.800000000000000000e+01 2.340000000000000066e-02 0.000000000000000000e+00
5.900000000000000000e+01 2.380000000000000171e-02 0.000000000000000000e+00
6.000000000000000000e+01 2.419999999999999929e-02 0.000000000000000000e+00
6.100000000000000000e+01 2.460000000000000034e-02 0.000000000000000000e+00
6.200000000000000000e+01 2.500000000000000139e-02 0.000000000000000000e+00
6.300000000000000000e+01 2.539999999999999897e-02 0.000000000000000000e+00
6.400000000000000000e+01 2.580000000000000002e-02 0.000000000000000000e+00
6.500000000000000000e+01 2.620000000000000107e-02 0.000000000000000000e+00
6.600000000000000000e+01 2.659999999999999865e-02 0.000000000000000000e+00
6.700000000000000000e+01 2.699999999999999969e-02 0.000000000000000000e+00
6.800000000000000000e+01 2.740000000000000074e-02 0.000000000000000000e+00
6.900000000000000000e+01 2.779999999999999832e-02 0.000000000000000000e+00
7.000000000000000000e+01 2.819999999999999937e-02 0.000000000000000000e+00
7.100000000000000000e+01 2.860000000000000042e-02 0.000000000000000000e+00
7.200000000000000000e+01 2.900000000000000147e-02 0.000000000000000000e+00
7.300000000000000000e+01 2.939999999999999905e-02 0.000000000000000000e+00
7.400000000000000000e+01 2.980000000000000010e-02 0.000000000000000000e+00
7.500000000000000000e+01 3.020000000000000115e-02 0.000000000000000000e+00
7.600000000000000000e+01 3.059999999999999873e-02 0.000000000000000000e+00
7.700000000000000000e+01 3.099999999999999978e-02 0.000000000000000000e+00
7.800000000000000000e+01 3.139999999999999736e-02 0.000000000000000000e+00
7.900000000000000000e+01 3.180000000000000188e-02 0.000000000000000000e+00
8.000000000000000000e+01 3.219999999999999946e-02 0.000000000000000000e+00
8.100000000000000000e+01 3.259999999999999704e-02 0.000000000000000000e+00
8.200000000000000000e+01 3.300000000000000155e-02 0.000000000000000000e+00
8.300000000000000000e+01 3.339999999999999913e-02 0.000000000000000000e+00
8.400000000000000000e+01 3.379999999999999671e-02 0.000000000000000000e+00
8.500000000000000000e+01 3.420000000000000123e-02 0.000000000000000000e+00
8.600000000000000000e+01 3.459999999999999881e-02 0.000000000000000000e+00
8.700000000000000000e+01 3.500000000000000333e-02 0.000000000000000000e+00
8.800000000000000000e+01 3.540000000000000091e-02 0.000000000000000000e+00
8.900000000000000000e+01 3.579999999999999849e-02 0.000000000000000000e+00
9.000000000000000000e+01 3.620000000000000301e-02 0.000000000000000000e+00
9.100000000000000000e+01 3.660000000000000059e-02 0.000000000000000000e+00
9.200000000000000000e+01 3.699999999999999817e-02 0.000000000000000000e+00
9.300000000000000000e+01 3.740000000000000269e-02 0.000000000000000000e+00
9.400000000000000000e+01 3.780000000000000027e-02 0.000000000000000000e+00
9.500000000000000000e+01 3.819999999999999785e-02 0.000000000000000000e+00
9.600000000000000000e+01 3.860000000000000236e-02 0.000000000000000000e+00
9.700000000000000000e+01 3.899999999999999994e-02 0.000000000000000000e+00
9.800000000000000000e+01 3.939999999999999752e-02 0.000000000000000000e+00
9.900000000000000000e+01 3.980000000000000204e-02 0.000000000000000000e+00
1.000000000000000000e+02 4.019999999999999962e-02 0.000000000000000000e+00
1.010000000000000000e+02 4.059999999999999720e-02 0.000000000000000000e+00
1.020000000000000000e+02 4.100000000000000172e-02 0.000000000000000000e+00
1.030000000000000000e+02 4.139999999999999930e-02 0.000000000000000000e+00
1.040000000000000000e+02 4.179999999999999688e-02 0.000000000000000000e+00
1.050000000000000000e+02 4.220000000000000140e-02 0.000000000000000000e+00
1.060000000000000000e+02 4.259999999999999898e-02 0.000000000000000000e+00
1.070000000000000000e+02 4.299999999999999656e-02 0.000000000000000000e+00
1.080000000000000000e+02 4.340000000000000108e-02 0.000000000000000000e+00
1.090000000000000000e+02 4.379999999999999866e-02 0.000000000000000000e+00
1.100000000000000000e+02 4.420000000000000318e-02 0.000000000000000000e+00
1.110000000000000000e+02 4.460000000000000075e-02 0.000000000000000000e+00
1.120000000000000000e+02 4.499999999999999833e-02 0.000000000000000000e+00
1.130000000000000000e+02 4.540000000000000285e-02 0.000000000000000000e+00
1.140000000000000000e+02 4.580000000000000043e-02 0.000000000000000000e+00
1.150000000000000000e+02 4.619999999999999801e-02 0.000000000000000000e+00
1.160000000000000000e+02 4.660000000000000253e-02 0.000000000000000000e+00
1.170000000000000000e+02 4.700000000000000011e-02 0.000000000000000000e+00
1.180000000000000000e+02 4.739999999999999769e-02 0.000000000000000000e+00
1.190000000000000000e+02 4.780000000000000221e-02 0.000000000000000000e+00
1.200000000000000000e+02 4.819999999999999979e-02 0.000000000000000000e+00
1.210000000000000000e+02 4.859999999999999737e-02 0.000000000000000000e+00
1.220000000000000000e+02 4.900000000000000189e-02 0.000000000000000000e+00
1.230000000000000000e+02 4.939999999999999947e-02 0.000000000000000000e+00
1.240000000000000000e+02 4.979999999999999705e-02 0.000000000000000000e+00
1.250000000000000000e+02 5.020000000000000157e-02 0.000000000000000000e+00
1.260000000000000000e+02 5.059999999999999915e-02 0.000000000000000000e+00
1.270000000000000000e+02 5.099999999999999672e-02 0.000000000000000000e+00
1.280000000000000000e+02 5.140000000000000124e-02 0.000000000000000000e+00
1.290000000000000000e+02 5.179999999999999882e-02 0.000000000000000000e+00
1.300000000000000000e+02 5.220000000000000334e-02 0.000000000000000000e+00
1.310000000000000000e+02 5.260000000000000092e-02 0.000000000000000000e+00
1.320000000000000000e+02 5.299999999999999850e-02 0.000000000000000000e+00
1.330000000000000000e+02 5.340000000000000302e-02 0.000000000000000000e+00
1.340000000000000000e+02 5.380000000000000060e-02 0.000000000000000000e+00
1.350000000000000000e+02 5.419999999999999818e-02 0.000000000000000000e+00
1.360000000000000000e+02 5.460000000000000270e-02 0.000000000000000000e+00
1.370000000000000000e+02 5.500000000000000028e-02 0.000000000000000000e+00
1.380000000000000000e+02 5.539999999999999786e-02 0.000000000000000000e+00
1.390000000000000000e+02 5.580000000000000238e-02 0.000000000000000000e+00
1.400000000000000000e+02 5.619999999999999996e-02 0.000000000000000000e+00
1.410000000000000000e+02 5.659999999999999754e-02 0.000000000000000000e+00
1.420000000000000000e+02 5.700000000000000205e-02 0.000000000000000000e+00
1.430000000000000000e+02 5.739999999999999963e-02 0.000000000000000000e+00
1.440000000000000000e+02 5.779999999999999721e-02 0.000000000000000000e+00
1.450000000000000000e+02 5.820000000000000173e-02 0.000000000000000000e+00
1.460000000000000000e+02 5.859999999999999931e-02 0.000000000000000000e+00
1.470000000000000000e+02 5.899999999999999689e-02 0.000000000000000000e+00
1.480000000000000000e+02 5.940000000000000141e-02 0.000000000000000000e+00
1.490000000000000000e+02 5.979999999999999899e-02 0.000000000000000000e+00
